OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,GUA01,GUA02,GUA03,GUA04,GUA05,GUA06,GUA07,GUA08,GUA09,GUA10,GUA11,GUA12,GUA13,GUA14,GUA15,GUA16,GUA17,GUA18,GUA19,GUA20,GUA21,GUA22,GUA23,GUA24,GUA25,GUA26,GUA27,GUA28,GUA29,GUA30,GUA31,GUA32,GUA33,GUA34,GUA35,GUA36,GUA37,GUA38,GUA39,GUA40,GUA41,GUA42,GUA43,GUA44,GUA45,GUA46,GUA47,GUA48,GUA49,GUA50,GUA51,GUA52,GUA53,GUA54,GUA55,GUA56,GUA57,GUA58,GUA59,GUA60,GUA61,GUA62,GUA63,GUA64,GUA65,GUA66,GUA67,GUA68,GUA69,GUA70,GUA71,GUA72,GUA73,GUA74,GUA80,GUA81,GUA82,otu_sample_name
OTU_11,Bacteria,Firmicutes,Bacteroidia,Actinomycetales,Enterobacteriaceae,Actinomyces,0,1,0,0,0,0,17,11,0,1,0,9,0,0,2,0,0,0,0,0,0,4,8,0,0,0,0,0,25,0,0,0,31,8,20,0,0,0,0,21,0,30,0,5,4,31,0,0,4,0,0,2,0,0,7,0,0,0,19,0,0,0,0,0,0,0,9,0,0,0,0,4,3,24,0,4,3,GUA10
OTU_12,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,0,13,0,1,34,0,0,0,0,0,14,55,6,0,0,0,0,0,0,9,0,24,92,0,4,0,14,46,0,5,0,22,0,0,0,23,0,14,6,0,24,0,0,0,0,0,0,0,0,0,14,0,5,0,9,0,6,0,0,8,0,0,21,0,0,0,0,1,4,0,35,0,4,0,0,0,0,GUA21
OTU_13,Bacteria,Firmicutes,Gammaproteobacteria,Burkholderiales,Enterobacteriaceae,Bacteroides,2,0,0,4,0,17,0,6,0,2,1,0,7,0,0,0,0,31,6,0,0,0,0,0,0,0,8,15,0,31,0,0,0,1,0,0,0,0,4,0,4,0,0,15,0,11,0,0,0,2,0,17,0,0,0,0,5,3,0,0,44,14,0,13,0,18,0,0,0,10,0,13,0,4,27,9,58,GUA50
OTU_14,Bacteria,Actinobacteria,Actinobacteria,Pseudomonadales,Bacteroidaceae,Escherichia,41,9,0,0,5,0,12,0,0,62,0,0,0,0,13,2,5,1,11,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,11,7,0,20,4,0,0,33,0,5,0,0,58,10,11,0,9,0,6,6,GUA43
OTU_15,Bacteria,Proteobacteria,Actinobacteria,Actinomycetales,Enterobacteriaceae,Bacteroides,0,7,0,6,0,0,0,10,0,0,59,0,0,2,0,2,0,0,0,0,17,12,0,0,81,0,9,0,22,0,0,2,0,0,0,0,0,0,10,11,37,0,0,19,0,2,0,14,5,0,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,70,19,5,0,0,0,1,20,84,0,0,13,GUA67
OTU_16,Bacteria,Proteobacteria,Gammaproteobacteria,NA,Lactobacillaceae,Lactobacillus,0,0,0,0,0,0,0,0,2,0,8,0,18,1,2,18,0,5,0,2,0,0,4,10,0,11,0,0,9,0,0,4,0,0,0,7,3,3,1,0,0,0,3,0,5,0,0,0,3,0,2,10,0,0,0,0,0,6,0,67,4,0,0,0,0,38,0,0,0,0,5,6,0,0,3,2,7,GUA21
OTU_17,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Enterobacteriaceae,Lactobacillus,0,0,0,17,0,10,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,8,75,0,0,0,0,6,0,19,0,1,0,12,2,0,10,0,0,0,8,0,0,5,0,0,3,19,0,3,0,0,0,7,21,0,7,0,29,0,7,0,2,0,0,6,7,12,0,0,7,GUA61
OTU_18,Bacteria,Bacteroidetes,Bacilli,NA,Bacteroidaceae,Escherichia,2,0,2,0,34,24,5,32,0,5,4,5,5,0,8,7,0,24,0,0,0,18,0,0,0,0,12,0,4,0,0,0,1,0,0,13,0,0,0,0,0,0,4,3,6,0,0,0,0,0,3,20,4,0,0,0,63,4,0,0,0,35,0,0,0,0,55,0,0,0,0,2,0,0,2,0,24,GUA66
OTU_19,Bacteria,Bacteroidetes,Bacteroidia,Actinomycetales,Bacteroidaceae,Lactobacillus,0,0,0,0,0,5,0,12,11,0,0,0,0,9,0,0,12,21,0,0,0,0,0,2,0,5,0,0,0,0,6,0,0,0,12,15,14,0,0,0,11,3,0,0,0,0,0,40,0,99,0,1,15,10,0,14,6,0,0,3,4,0,0,0,0,11,0,0,0,7,3,0,6,11,0,0,0,GUA16
OTU_20,Bacteria,Firmicutes,Actinobacteria,Enterobacterales,Lactobacillaceae,Lactobacillus,0,4,9,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,25,0,5,0,0,21,48,34,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,9,15,25,6,6,0,3,0,10,0,0,0,GUA08
OTU_21,Bacteria,Proteobacteria,Bacilli,Pseudomonadales,Lactobacillaceae,Lactobacillus,0,3,0,0,0,0,0,0,0,4,0,2,0,1,11,7,0,23,0,3,9,23,0,0,0,14,0,0,0,0,0,0,0,0,0,2,13,57,7,3,0,29,0,0,0,0,0,37,0,5,5,0,0,0,0,180,0,0,4,23,0,1,0,3,0,21,0,26,7,17,11,3,3,20,0,4,0,GUA01
OTU_22,Bacteria,Firmicutes,Gammaproteobacteria,Actinomycetales,Enterobacteriaceae,Escherichia,58,2,7,0,6,0,0,11,6,19,24,0,0,0,0,0,10,0,8,0,2,0,27,0,0,4,27,0,2,4,17,0,5,0,0,2,37,0,0,33,20,4,11,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,2,0,12,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,4,GUA62
OTU_23,Bacteria,Proteobacteria,Actinobacteria,Flavobacteriales,Lactobacillaceae,Lactobacillus,0,0,15,0,0,5,0,13,2,0,0,16,10,0,0,0,7,0,0,0,0,2,19,0,0,6,7,23,0,0,0,12,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,64,6,0,0,0,0,0,0,3,0,4,0,4,3,0,6,0,15,0,1,0,0,0,0,0,8,6,GUA42
OTU_24,Bacteria,Actinobacteria,Gammaproteobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,0,0,0,0,21,7,0,6,3,1,1,0,0,0,0,18,4,0,0,0,5,0,0,0,5,0,6,0,5,0,8,11,0,0,0,0,15,9,19,0,0,10,2,0,0,0,0,0,0,0,0,0,26,0,19,0,0,43,2,18,20,0,29,0,9,0,6,16,16,0,0,1,0,0,0,0,2,GUA46
OTU_25,Bacteria,Proteobacteria,Bacteroidia,NA,Lactobacillaceae,Bacteroides,0,16,0,29,4,5,0,0,19,0,0,0,7,9,0,11,4,0,0,0,0,0,6,5,5,0,12,0,14,5,23,0,0,11,0,0,0,8,0,0,0,0,0,4,3,3,0,0,0,0,0,0,58,0,0,5,0,0,2,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,22,GUA23
OTU_26,Bacteria,Proteobacteria,Gammaproteobacteria,Flavobacteriales,Actinomycetaceae,Actinomyces,1,0,0,0,4,29,0,170,21,9,6,0,12,14,0,8,0,0,0,0,13,0,0,8,7,0,0,0,0,11,2,0,0,17,0,0,15,0,0,0,16,0,0,0,0,0,7,0,6,0,0,0,0,5,0,9,7,0,0,0,0,3,3,2,0,0,5,0,13,0,0,9,0,0,0,0,0,GUA70
OTU_27,Bacteria,Actinobacteria,Bacilli,Pseudomonadales,Actinomycetaceae,Escherichia,9,0,16,0,11,12,0,116,0,0,0,1,3,0,0,8,0,0,0,0,0,8,16,0,3,0,0,3,4,0,9,8,0,6,10,0,0,4,0,0,0,18,0,25,8,9,0,5,13,0,0,0,0,0,0,0,0,2,4,6,4,31,10,9,0,0,0,0,0,2,1,0,0,2,0,22,0,GUA54
OTU_28,Bacteria,Bacteroidetes,Gammaproteobacteria,Enterobacterales,Lactobacillaceae,Escherichia,0,0,5,0,0,6,0,0,15,4,5,2,0,0,0,0,7,0,7,12,0,0,15,15,11,7,0,13,5,4,0,34,2,0,8,0,0,0,5,0,1,3,0,0,0,38,0,0,0,0,5,0,0,0,0,9,12,23,0,0,3,0,0,0,0,6,0,0,3,59,0,0,0,0,0,0,0,GUA42
OTU_29,Bacteria,Actinobacteria,Bacilli,Enterobacterales,Actinomycetaceae,Lactobacillus,0,34,0,5,4,13,0,0,55,0,8,3,11,7,3,0,0,0,0,0,2,0,32,0,5,0,0,13,17,0,0,0,0,6,60,0,0,0,15,6,3,0,0,4,0,0,0,0,1,0,2,0,0,2,4,0,8,13,53,0,0,8,3,0,0,18,0,0,1,7,0,10,0,0,0,0,0,GUA56
OTU_30,Bacteria,Proteobacteria,Actinobacteria,Rhizobiales,Lactobacillaceae,Actinomyces,0,0,14,0,0,10,0,6,0,4,0,7,2,0,14,2,14,11,0,0,24,0,4,0,16,5,4,30,0,0,0,3,3,12,11,30,14,0,0,2,5,9,54,0,13,6,0,0,0,0,9,12,0,0,0,3,4,0,0,16,0,0,0,14,0,0,14,0,5,0,1,0,18,0,12,7,7,GUA24
OTU_31,Bacteria,Actinobacteria,Actinobacteria,Rhizobiales,Lactobacillaceae,Escherichia,14,11,0,0,0,0,0,0,14,0,0,0,14,0,0,9,0,8,0,0,2,1,1,22,3,0,4,0,2,0,0,4,8,0,0,31,0,0,0,0,2,0,10,0,7,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,8,4,5,39,0,0,16,0,0,0,0,0,0,0,0,0,GUA26
OTU_32,Bacteria,Proteobacteria,Bacilli,Rhizobiales,Bacteroidaceae,Bacteroides,0,0,21,23,5,7,1,12,13,6,0,0,0,2,0,6,0,0,0,16,0,0,42,29,0,0,4,9,0,0,3,3,0,0,0,3,0,0,0,9,0,0,7,15,11,0,17,17,3,0,0,5,0,78,3,1,10,0,0,31,1,0,0,0,54,0,0,0,5,0,0,0,7,0,0,0,0,GUA46
OTU_33,Bacteria,Bacteroidetes,Bacteroidia,Actinomycetales,Actinomycetaceae,Escherichia,0,5,16,10,0,0,5,0,0,0,0,0,0,0,11,12,0,5,6,10,8,0,5,0,8,0,0,0,0,11,11,0,57,2,0,2,0,2,4,0,19,18,2,0,3,2,0,0,83,0,1,0,20,0,1,1,0,10,0,0,0,0,10,0,0,0,2,0,0,4,2,14,17,0,7,1,5,GUA39
OTU_34,Bacteria,Bacteroidetes,Bacteroidia,Enterobacterales,Actinomycetaceae,Actinomyces,0,0,31,20,0,0,10,0,7,0,22,0,1,6,3,0,25,0,7,0,17,0,0,0,0,0,0,0,0,0,0,6,4,0,18,26,0,2,6,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,4,4,9,11,9,0,0,0,0,0,0,0,45,0,0,3,0,0,0,1,0,18,0,GUA30
OTU_35,Bacteria,Proteobacteria,Bacteroidia,Actinomycetales,Enterobacteriaceae,Bacteroides,0,0,3,0,0,0,8,0,2,0,13,2,0,1,17,2,12,13,3,0,0,0,0,1,0,0,0,5,14,5,5,0,10,0,0,1,0,13,0,0,0,6,0,0,21,1,0,0,10,0,55,0,0,0,0,7,5,0,3,34,0,0,0,0,13,0,4,8,52,4,0,0,52,7,20,0,3,GUA32
OTU_36,Bacteria,Bacteroidetes,Actinobacteria,Flavobacteriales,Lactobacillaceae,Bacteroides,0,39,12,0,0,4,0,10,0,17,11,11,7,0,0,5,9,0,10,0,0,0,0,0,6,4,0,0,0,0,13,3,18,0,9,0,0,11,0,0,0,0,0,1,0,0,5,5,6,0,17,3,0,0,4,5,3,2,4,0,0,0,0,2,0,3,13,0,0,0,0,0,0,2,0,0,6,GUA35
OTU_37,Bacteria,Actinobacteria,Actinobacteria,Burkholderiales,Bacteroidaceae,Lactobacillus,0,4,0,0,42,0,46,0,11,10,0,1,5,17,7,0,0,0,25,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,0,14,0,0,3,0,0,25,3,11,0,0,0,2,0,0,9,6,0,0,0,11,0,GUA17
OTU_38,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Bacteroidaceae,Bacteroides,0,0,0,0,0,0,0,0,0,374,0,41,5,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,8,0,3,0,0,0,0,9,0,0,35,19,0,4,0,0,17,32,4,0,0,4,0,4,0,0,0,2,0,0,0,0,24,16,11,0,0,42,18,5,0,0,3,4,4,GUA56
OTU_39,Bacteria,Firmicutes,Gammaproteobacteria,Flavobacteriales,Enterobacteriaceae,Lactobacillus,0,0,10,0,1,0,0,0,0,53,18,0,26,0,0,0,9,26,0,0,1,0,0,8,0,0,0,13,7,0,0,7,0,0,0,6,1,0,0,48,0,0,12,0,21,0,0,0,2,1,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,11,5,0,2,6,13,GUA08
OTU_40,Bacteria,Bacteroidetes,Bacteroidia,NA,Actinomycetaceae,Lactobacillus,4,0,0,0,0,0,11,0,1,3,5,3,41,3,0,9,0,4,0,5,6,0,0,10,0,0,0,14,0,0,0,0,3,0,0,12,9,5,0,0,1,0,6,0,0,25,0,0,0,0,0,11,3,0,0,13,0,0,0,0,0,21,0,10,2,0,11,0,2,0,5,2,0,0,0,0,21,GUA36
OTU_41,Bacteria,Firmicutes,Gammaproteobacteria,NA,Bacteroidaceae,Escherichia,4,0,0,5,6,0,0,0,0,4,0,7,0,0,0,0,19,2,0,0,17,0,6,0,0,0,3,3,0,0,17,0,0,0,2,0,0,0,27,0,4,0,4,3,0,1,5,0,6,4,0,0,0,0,0,3,0,4,0,0,0,12,2,0,0,27,0,18,0,46,4,0,72,3,0,1,15,GUA26
OTU_42,Bacteria,Actinobacteria,Bacteroidia,NA,Actinomycetaceae,Escherichia,0,0,0,0,9,26,2,0,0,0,18,0,0,2,39,33,0,0,0,4,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,49,0,0,20,0,0,18,0,0,1,21,0,0,0,0,0,0,0,9,0,0,10,0,3,0,0,31,0,0,2,0,0,51,3,0,0,0,0,0,0,0,2,GUA13
OTU_43,Bacteria,Bacteroidetes,Gammaproteobacteria,Actinomycetales,Bacteroidaceae,Lactobacillus,23,8,8,0,3,0,0,0,0,0,0,0,3,5,0,0,26,10,0,2,39,0,2,23,10,2,0,2,0,0,12,10,42,0,0,11,0,2,5,0,0,0,22,0,8,2,0,0,22,0,0,4,2,0,18,0,36,13,0,1,1,0,0,44,0,0,0,0,0,37,5,0,0,6,4,5,0,GUA47
OTU_44,Bacteria,Bacteroidetes,Actinobacteria,NA,Bacteroidaceae,Actinomyces,4,6,7,0,0,0,0,0,1,1,0,0,4,0,11,8,0,0,31,45,0,0,0,2,0,3,64,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,32,71,0,0,13,8,0,11,0,14,8,0,57,3,0,0,0,0,6,0,9,0,0,0,6,0,11,1,0,0,0,11,0,0,GUA50
OTU_45,Bacteria,Bacteroidetes,Bacteroidia,Bacillales,Lactobacillaceae,Lactobacillus,0,0,71,0,0,2,2,0,0,3,8,0,0,0,0,3,0,0,0,0,0,4,0,57,21,5,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,2,0,2,0,0,0,29,0,0,0,6,0,0,34,0,0,1,0,5,0,0,0,51,16,0,0,5,24,0,0,7,4,0,0,6,0,GUA05
OTU_46,Bacteria,Actinobacteria,Bacteroidia,Flavobacteriales,Actinomycetaceae,Actinomyces,25,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,31,17,0,0,10,0,32,2,7,0,1,10,0,1,0,0,0,6,0,9,3,0,24,0,0,0,0,9,0,0,27,10,0,0,0,0,0,0,0,61,27,50,0,7,0,0,GUA08
OTU_47,Bacteria,Actinobacteria,Bacilli,NA,Bacteroidaceae,Bacteroides,0,4,21,13,0,1,26,23,2,20,0,5,0,0,57,0,16,0,0,0,1,0,7,8,0,0,0,0,0,0,24,18,0,10,0,7,0,0,0,0,1,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,3,2,0,0,0,4,0,12,0,3,8,0,7,0,0,0,5,3,10,10,24,GUA29
OTU_48,Bacteria,Firmicutes,Bacteroidia,Burkholderiales,Lactobacillaceae,Bacteroides,0,0,0,10,20,17,0,16,0,7,0,0,0,0,2,4,8,0,0,0,88,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28,0,0,1,1,0,0,0,0,0,74,6,0,0,40,0,0,0,0,0,21,0,0,0,3,0,0,16,6,4,0,0,0,0,12,0,GUA21
OTU_49,Bacteria,Proteobacteria,Gammaproteobacteria,Flavobacteriales,Bacteroidaceae,Bacteroides,2,0,0,8,0,0,0,0,0,4,0,1,0,0,0,7,0,7,0,0,9,7,2,27,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,9,2,0,0,1,0,0,3,0,0,0,14,0,2,0,3,0,2,0,0,6,4,0,4,GUA17
OTU_50,Bacteria,Actinobacteria,Bacilli,Actinomycetales,Lactobacillaceae,Lactobacillus,0,8,0,0,0,12,0,11,6,0,0,0,0,4,25,10,0,5,3,3,0,0,36,16,21,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,7,0,0,3,0,38,0,0,0,8,0,1,3,0,19,9,0,0,0,0,1,3,0,12,0,0,8,0,0,13,0,0,0,20,0,0,11,GUA80
OTU_51,Bacteria,Bacteroidetes,Bacteroidia,NA,Lactobacillaceae,Actinomyces,0,0,0,0,37,0,0,1,13,3,1,9,0,0,1,0,6,0,0,6,0,9,0,0,0,0,0,0,0,0,14,34,17,15,0,10,0,0,0,3,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,7,15,0,10,0,1,0,0,0,0,0,0,0,0,0,GUA54
OTU_52,Bacteria,Firmicutes,Bacteroidia,NA,Actinomycetaceae,Lactobacillus,0,2,0,0,0,0,9,0,0,0,50,3,1,0,1,15,0,0,0,5,0,0,0,7,7,0,1,13,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,16,0,0,3,0,36,0,0,1,2,0,0,0,0,5,7,0,0,0,1,9,0,0,0,0,0,0,0,8,0,8,0,GUA40
OTU_53,Bacteria,Bacteroidetes,Actinobacteria,NA,Lactobacillaceae,Bacteroides,0,0,0,5,15,0,0,10,0,0,0,0,0,0,0,0,0,0,4,8,5,0,5,5,13,3,0,0,0,5,0,8,23,0,2,30,6,9,0,0,0,4,6,0,1,0,28,17,0,0,0,28,0,0,23,0,35,0,0,5,0,0,0,0,4,0,0,9,0,2,3,0,0,38,0,0,21,GUA65
OTU_54,Bacteria,Bacteroidetes,Bacilli,NA,Bacteroidaceae,Escherichia,6,0,0,10,18,7,0,0,0,10,1,0,0,0,4,9,0,0,0,0,19,5,12,0,3,8,7,0,0,1,0,16,5,0,0,0,1,6,0,0,0,0,0,0,0,5,0,4,0,0,0,10,0,3,0,6,0,9,26,0,0,0,22,0,0,0,9,0,0,0,8,3,0,0,3,0,0,GUA42
OTU_55,Bacteria,Actinobacteria,Gammaproteobacteria,Burkholderiales,Enterobacteriaceae,Bacteroides,16,0,0,0,47,4,0,1,0,0,0,24,0,0,47,11,0,0,1,0,0,0,0,0,31,0,31,6,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,3,0,0,0,0,5,0,5,0,0,9,0,0,18,0,0,0,0,0,6,4,2,0,10,59,0,0,19,0,9,0,8,0,GUA71
OTU_56,Bacteria,Proteobacteria,Bacteroidia,NA,Bacteroidaceae,Bacteroides,12,0,0,0,0,0,0,8,0,0,4,1,0,0,0,1,3,15,6,4,0,0,12,0,0,0,0,0,0,5,7,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,12,0,5,0,8,51,20,3,7,0,0,0,0,0,0,5,1,11,0,0,5,13,0,10,0,9,0,4,60,0,GUA71
OTU_57,Bacteria,Bacteroidetes,Actinobacteria,NA,Bacteroidaceae,Escherichia,3,0,0,0,2,0,19,0,0,0,0,0,8,8,0,9,0,4,0,0,8,0,12,0,10,4,0,1,0,0,21,0,0,21,0,10,6,17,0,0,0,0,0,0,0,0,9,13,9,0,0,0,0,0,25,0,0,2,10,0,0,4,0,0,9,0,0,0,0,0,5,12,1,9,0,14,1,GUA32
OTU_58,Bacteria,Actinobacteria,Bacteroidia,Bacillales,Lactobacillaceae,Actinomyces,3,0,0,0,0,0,0,9,0,9,2,1,1,0,0,46,0,0,0,0,17,0,0,0,10,26,0,0,0,0,4,0,1,0,0,9,0,12,0,1,11,4,0,7,0,2,0,0,17,39,3,0,0,0,0,0,1,0,0,10,14,9,14,0,0,0,0,2,6,2,0,0,0,0,4,0,12,GUA20
OTU_59,Bacteria,Firmicutes,Bacilli,Actinomycetales,Bacteroidaceae,Bacteroides,24,0,0,15,0,4,0,19,12,3,0,0,0,0,0,0,0,0,1,0,10,0,0,0,11,0,0,0,17,0,0,5,0,0,0,0,0,0,3,0,16,0,17,0,31,7,0,5,0,0,3,0,2,0,4,16,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,27,0,GUA52
OTU_60,Bacteria,Bacteroidetes,Gammaproteobacteria,NA,Lactobacillaceae,Actinomyces,0,0,2,0,5,12,0,0,7,0,0,4,0,0,0,0,0,6,0,41,3,0,10,0,0,0,0,0,1,0,10,0,0,0,12,2,0,0,0,0,5,0,13,37,0,0,0,5,0,0,0,0,14,63,0,2,0,3,32,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,22,0,GUA16
OTU_61,Bacteria,Firmicutes,Actinobacteria,NA,Actinomycetaceae,Escherichia,5,0,0,3,2,0,0,0,0,0,6,0,19,12,6,6,0,0,0,4,0,0,14,0,0,6,0,0,19,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,7,0,11,9,0,3,0,1,0,0,0,0,11,0,5,8,0,0,0,22,0,0,0,4,0,1,GUA82
OTU_62,Bacteria,Actinobacteria,Bacteroidia,Rhizobiales,Lactobacillaceae,Escherichia,3,15,0,0,14,10,2,9,2,0,20,0,0,0,14,7,0,16,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,6,9,6,2,12,1,0,15,0,0,1,0,5,0,0,14,0,4,0,1,14,0,0,0,27,0,0,5,6,6,3,0,0,9,0,0,0,0,17,0,13,13,1,GUA01
